text,label
i wish i was an actress bad i love acting,0
username url,0
"sometimes you wish that things would work out better , but they do n't sadly .",0
ahh im going crazy w/out alisha,0
wifi net connection in the office = fail !,0
"if your into anything to do with motion graphics , 3d or film its an interesting watch",4
username aww his phone was dying,0
username when xbox live finally works again ! i ca n't even sign in tonight,0
sister came back ... but nothing for me,0
nothing to do i feel borem and has n't find any shoes yet ! ups ..,0
"username you and i know how to fix that problem , , , feel better",4
now going cya peoples ! !,0
"username i did n't know you watched more than 1 . i have only seen 2 of his movies , i think i need to start looking for them on tv",0
might go on the boat later ! ! !,4
username i feel like tweeting you for no reason . so um hii .,4
username my prayers to those people they have lost their lives in that horrible plane crash .,0
woke up early 2 leave am barely awake but starbucks is helping ... i will marry the man who invented frappacinnos,0
username username username username username username username * cheers * # coffeeclub ! !,4
my dedicated server ( lambda ) is now totally setup and my sites are coming back very soon,4
is really cold . dad does n't feel the need for me to have the heating on in my room,0
username you 're so & quot ; cyber & quot ; mate ! top laugh last night !,4
grr traffic . time to get to office . later,4
username yup ... right out of twitterville for now . it 's hard to leave but nothing ever happened without some action . later,4
i really wish all time low was gon na be at warped tour,0
night tweeps . week begins tomorrow,0
ahh someone save me ! ! ! ! ! ! ! !,0
so . fell asleep at 630 . class in 15 min till 12 .,0
username the sad thing is that i find myself blocking more people per day than i befriend .,0
"username no , i have n't but i will after i get out of class , lol . thanks for that !",4
i not feel too well today .,0
username i think you need to change your profile pic so we can actually see your face timea ! haha xoxo,4
watching the second bridget jones with becky yes becky i twitter & lt ; 3,4
there is way too much drama on here for me i 'm just not down with it,0
"urgh . just woke up . still kinda sunny . beach yesterday was fun , was gon na go on the bouncy castle , apparintally its for 10 and under",0
your lifes great . mine you ask ? not so hot . stepped on a lizard but still my life aint your ray of sunshine .,0
working next to zach . we miss zoey,0
username maybe he was hitting on me,4
username no im not missing you atal but im total missing the game imagine taking it off me evil !,0
"thought i did n't get hired for a coop i interviewed for . turns out , he forgot and emailed me today asking what i was doing this summer .",0
"cough is much better , hurray . now to decide what to do today",4
username i 'm a hot mom ( @ mnufoundme ) got ta brag on myself cuz no one else will,4
"omg , i am giddy over carl remembering us tell him congrats ! lucky lady ...",4
my camera ran out of power,0
time to shut down for the night ! twitter is better than i thought it would be .,4
im freezing my bum off in sydneys current weather,0
username here i thought i was the silly one ! thanks for the clarification !,4
username hey who are you ?,4
username i did n't see ur faces today ill be out and about tomorrow day . let 's catch up !,0
amber went home tomorrow is the day 5-4-09,0
username yace ... i calleds yas,4
country life without onehd would be acceptable if could stream netball games on internet,0
in search of a good fish taco in toronto - do they even exist here ? ?,0
username username username username if 1 of u would tweet me that would be amazing just had the most terrifying night ever xx,0
username aww man .. dat suckss ..,0
new iphone os3 today ... wish i knew about this earlier,0
having a party .,4
username doubtful . right now he 's in the bathroom with water and his bed and all i can do is hope that he does n't get worse .,0
eeww gross a bug tried to fly in my mouth too much rain and the bugs come out .,0
username that 's what i keep telling myself . at least i can visit . if he does n't hate me . he was so mad & amp ; scared when i left him .,0
well hes coming over tomorrow again aswell . so we shall be the mighty debating three . exept anna coz she pulled out . evil girrl . tehe,4
username - i think username did an amazing presentation about the whole & quot ; keeping review items & quot ; and tax thing at blogher '08 she 's awesome !,4
username yeah ... wish i could stay friday but i ca n't,0
ahh i did n't even know my lady crush maria had a twitter ! if only natalya and chyna did,0
my mom just figured out i like oranges . fml,0
username & quot ; pelham & quot ; remake is not a good movie,0
username see you in 8 hours,4
username cool ! i want to see the design !,4
username oo kaycee she was adorable on the phone the other day .,4
good morning going to church soon . then i have basketball practice and then going to play volleyball at my friends house,4
username savannah i did n't get to hear you because my computer was slow,0
"whole yellow tail fish , creamy mac and cheese . passionfish . coffee gelato-had to say no but damn that was a good taste",0
username that one i knwo i have to design first ... not so good at that,0
"username no , not well tbf . i did n't sleep till 4.30am and only just woken now",0
digital picture frame for grabs : hi ! want to give something to a loved one ( or for mothers day ? ) i have a digital picture frame first ..,4
"calling all creatives ! if you are a new artist or a musician and want some free publicity on aliveasart , dm me your info . i 'll do my best",4
"username yeah . i just cross my fingers that it 's not with seve and i 'll be fine . haha , what did they say ?",4
username welcome to twitter jon little !,4
found out currys do in fact price match online stores ... great success,4
username sounds good to me .,4
"lunch in polo with sam , moncha , migs and jamo . that 's what you do when you have a 5 hour break in between classes . =|",4
asks yerr digits ? wala aqong mkatext e. xd url,4
haha ! peach got nutted on by mister ketchup lol,4
bars are closing afterhours helloew ! toronto = yawn !,0
is thrilled to welcome username to the wiggle wag reseller family !,4
"username lol , wait i missed that he shot her ! ?",0
username & quot ; what a wonderful world it would be & quot ; . you seem upbeat and optimistic ... my guess is you 'll find a way to keep ur smile .,4
username i know ! yeah jillys would be good . britney will be awesome too . the tickets have been dispatched ! x,4
username i never learned how to whistle,0
username i love it ! you guys are welcome anytime but she may be sorely disappointed to find no @ repressed .,4
"off to the meditterean at 5 in the am tommorrow , so excited to be finally going and having a week off",4
username i was being sarcastic . i ai n't got no air . and yes i do wan na die,0
im hungry and its cold,0
home .. playing some texas hold'em,4
username & quot ; new zealand - rocks ! & quot ;,4
good morning everyone ! my great mood from yesterday has continued into today it 's so warm this morning as well,4
"it 's 63 degrees outside and cloudy ... i do love days like this , it 's so relaxing . the birds are singing and it just makes me happy !",4
username not me how r the shows going for u so far ?,0
the internet hate me username ... i ca n't get the rumble strips site to open,0
username if you like joe brooks you 'll like my songs ww.myspace.com/mikedignamuk please check them out xx,4
twilight ; feels so real i love it !,4
username i hate liars !,0
@ every_starfall : that one 's on my wishlist too ! ... though i 'm 29,0
"username oh man , i do n't even want to think about it .",0
"hmm ... just realised . i 'm smart , yet not at all popular . i 'm definitely at one end of the popularity scale . sad smiley",0
username thanks a lot ! please dm me your email !,4
mattie has pink eye i think poor baby,0
i 'm so dizzy already and i 'm only on the third page of chapter 73 * plops head *,0
username oh oh .. it is about which comes first being better,4
username omg im so dizzy now,0
username i 'm a big fan of yours and was just wondering if/when spinnerette will be touring the uk ? hopefully you 'll come to wales,4
far too tired to function,0
username but you 'll listen to it again soon i need the new album of green day [ 2 ] xx,4
"at work for 4 1/2 more hours . i had a dream where i met some really nice people , i woke up and was sad that it was only a dream",0
username you can buy my fiances duplex in terwillegar,4
username i just added you to my watch list ! : d i love your work,4
"ouh , account picture uploading is finally enabled again",4
username i spend alot of time on the imdb new moon boards and as soon as theres an update some one will post it plus its good to chat on,4
username thanks so much ! it feels good to be back -- had a busy few days .,4
"watching jon & amp ; kate plus 8 . wow , they are seperating .. kinda saw that one coming though .",0
death is upon me like really seriously,0
"i wan na see the hp stars , but i just ca n't how sad hp fan 4ever , have all the books in dutch & amp ; english & amp ; have all the movies , f'ckin sucks",0
"does not like labrador retrievers big , barky , scary dogs . give me a good corgi or well-behaved mutt !",0
username are the rehersals causing chaos ? ?,4
username how are you honey ?,4
username aww you are too sweet i am trying to purge detrius from my home & amp ; started on closet . found stuff i forgot i had .,4
username jessicuhh i totally miss you too lady . methinks a trip to tally-ho before you join the navy .,4
wow how borin username work ex .. think id rather be at skool ..,0
kinda miss the after party .. url,0
username i wish i was with you,0
"waiting for my mum to pop back from work to take me the doctors , implant is getting taken out , dreading it so much !",0
username welcome to twitter and post photos soon please !,4
"username hmm , i have n't had time to scope out the kce so if you happen to find it , would you please let me know ? thanks !",4
blah ! i should be asleep for today 's 10 am rehearsal but i do n't want too ! & gt ; . & lt ; hehe i 'm not sleepy and i do n't want to wake up early !,0
heading to work to pretend to not be hungover for the day,0
username omg. ! i love biggie ... may he rest in peace .. damn ! i didnt know u liked biggie ! ; ),0
i am really happy to have some real people following me .,4
username if amos lee finds any let me know ! im looking for good spots too,4
"username thank you , i think i am looking more of a mailing list service . when people subscribe to my newsletter . but thanks so much",4
feeling a littlt nauscious,0
i wish these two cats would stop fighting outside my office ..... it sounds like one of those kitties is getting murdered,0
"as a reward , you may download a free copy of emailunlimited on url",4
am sad to see the summer sun disappear after three gorgeous days,0
"url , t-shirt was playing but i wanted to see abs",4
"urgh , i 've had enough of today already",0
ok i am going to sleep for real now good night twitter land,4
username bahahah sounds like youre an old man . do you really laugh like that ? lol,4
username it took me the longest time to figure this out : # sataniswearingajacket but the bubble eventually sunk !,4
username uhh-mazz-in not good if your starting a diet like me though haha,4
aww maybe bronnie can have his mommy take him to disney,0
"username nope , sorry . i beat you forever ago .",4
thank you for the love back,4
watching hot rod with my bestie username lovee username and jorm . funny and veryy good looking guys . jealous of isla f .,4
username isnt too happy . hes tired,0
woke up at 10 going shopping noww ! xo,4
username because i had to go off,0
taking as many meds as possible and sleeping forever . no one told me getting my wisdom teeth out would be this miserable,0
good am ! what am i doing today ? packing 100 years worth of living into whatever remaining years i 'm blessed to live.1st things 1st -- panera,4
"car-free sunday at hannover city ; ) we will walk , use a bicycle or use the inline skates only no car ; )",4
username check out our site for long distance relationship support ! url,4
"username university cames first , but without working i can study any longer - keep your good mood and share it * g *",0
username ... ha ! u dont know nuthin bout that ...,4
username yes its hot 95 today .... and i got ta mow,0
physics exam soon,0
just got home from work . i wan na go out .. ahh ! but i ca n't get out of the house,0
username oh so religious !,4
i do n't know it ... looked on youtube and blip ... ca n't find it .,0
username thanks !,4
@ shoesandbooks,4
"@ lexifriday , i went . wish i saw u",0
"i hate my job . i love the people , i just hate what i have to do .",0
username very involved audience . nice .,4
is loving xna . the official tutorial however is voiced by the most boringly slow guy ever - 7 videos & amp ; all he has done is drawn a sprite,0
so at & amp ; t tells me i 'm not due for an upgrade until jan. looks like i 'll be skipping the 3gs and waiting for the iphone '10 in the summer,0
username good morning how late is it over there ? glad to have you here in twitter too,4
username you have an iphone vest - that 's all you need to be cool,4
bedtimee . if only my brain knew this .,0
"my music brain is n't working right now maybe because there are too many people around , maybe i should learn to meditate .",0
just witnessed the birth of all seasons . first time seeing an actual birth of a cat,4
url ! x,4
username ahh you just make my night ! ! you rock kris ! !,4
"username thanks , slissle-head ! add some hair scratches to your head from me",4
glad to survive day 1 !,4
goodnight twitterland lonngg day .,4
___im so upset twitter,0
"username ok i 'm obsessed . i watch the wonderland tour dvd , every week 4 or 5times . i loove it . but i 'm sad that i ca n't see ya live .",0
ali referred to me as & quot ; little egg & quot ; whilst partaking in drinks at the largo . adorable . tomorrow : the saab 's final day,0
"username poor her , she could have at least got your name right .",0
username awe ... you 're a doll thanks hun ...,4
username oh no ! very sad .,0
food poisoning x,0
username hey dm me your msn please,4
im not worth it,0
"disgrace was a great film but # sff = long qs ( bad organisation ) this year then : icebergs laps . now : mint supper , belvoir whore , party",0
is missing tony x,0
for some strange reason i suddenly feel so depressed !,0
username everyone sins .,0
"pasta , roast rabbit , white sauce & amp ; beer .... not the perfect match , but it 's one way to wrap up a sunday .",4
"username lucky to get good vanity url ! i got ishan001 , ishan or ishansharma would have rocked !",0
url ! my crazy girl ! i love u girl ! in the cinema was so funny ! pop it ... ( 8 ) dancing !,4
@ # asot400 this song is siicckk,4
is having an icky day,0
username is that why u married a bogan,0
sleeping pattern is all messed up . it 's 4am and i 'm still awake . it 's been like this the whole week . tgif !,4
"so bored , found out , i ca n't touch my nose with my tongue sad times lmao !",0
username not something i 'm looking forward to . had n't heard about aboriginals in manitoba - that 's not good .,0
"username i love latte ! you look great , by the way",4
username my greeting cards are farking crazy ! url,4
does not want to be at school .,0
"ca n't move her right hand any more shit , might have to go see a doc or the e & amp ; a",0
"and by edward i mean edward cullen , rereading new moon has never been so sweet",4
username its such a downer ! i cant do shit until work picks back up �tleast ive got youu & lt ; 3,0
hmm smoothie ! ! ! off to work ! ! ca n't wait for tonight ! gahh ! ! ! ! ! ! new moon trailer ! yaay ! finally . about 6 months til the movie,0
username thanks for sharing these ! amazing to see your memoir in actual picture form ! hope all is good on your side,4
username url,4
"username thanks ! glad you like it yeah , we did everything from the identity through to the site design and development # ccwebdesign",4
username yeah,4
username our pleasure ! thanks for gracing us with your space goat awesomeness !,4
"& lt ; -- is starving in more ways than 1 ... pero no hay comida en mi casa ... off to find fast food . yuck ! , just sounds gross *",0
at donnielle 's with pammy . xavier is amazinngg .,4
just had a really hot sauna and cooked kranskies on the stove . it was very nice,4
username your welcome,4
hates getting b 's they do nothing for my gpa,0
tried to put up photo of hubby and me and now my profile photo is gone .,0
excited about this week .... and the fact that there are only three weeks left of school .,4
username we missed each other at # nace09 ! i meant to find you during your book signing but got swamped .,0
"username 24-hour flight ? wow . that 's deep . after that long a flight , i 'd need someone waiting on the otherside ready to give me a bj !",4
"just now realized when i updated to iphone 3.0 a few hours ago , it deleted bloom ( the brian eno app i bought ) .",0
username i shoot macro all the time . i use the nikkor 105mm f/2.8 1:1 lens,4
wish i was in belshaft for the asiwyfa vs fww gig,0
username url !,4
i 've got my laptop lowbat . so i better shut it down ! haha . i 'm off ! goodbye !,4
"found closed road w @ gomeler . did some fiesta 0-60 runs . 11 seconds . need to dyno , look username power curve , move .. url",0
url,0
so lonely,0
"uugh , that migrain still in my head .",0
"username i do n't have your # , maan ! !",0
username needed a little bit of relaxing bc of crazy wk . had to cancel an appt and i 'm so sad . no rest for me !,0
just bought some cool short shorts,4
trying to fall asleep . cuddling teddy and renh renh . thinking about where username is . worried . call me at home if you are this bane .,0
"username was n't enough hours i 'm waiting to hear back from fortis , keeping my fingers and toes crossed !",0
my world is crumbling .. i can see it,0
username holy how ! i just learned how to do this ! haha and i just now read all your mentions ! hahaa,4
username tataindicom is not as good as tatasky airtel broadband is better .,4
does anyone wan na tell me where my believe bracelet is ?,0
just woke up and fresh out the shower,4
please add me on my new facebook page .. url,4
they showed a jonas add naww . i love them .,4
back to work this is going to be a great week,4
"username of course i do , i 'm his sec of state . its my job .",4
"i 'm super disappointed by mothers day . my roast turned into i ca n't be bothered , i 'll buy tea instead , and then changed to i 'm going ...",0
i hate washing it sucks,0
"ca n't wait for monday , but i still wish i were actually there .",0
made my first apron ! gretel will be proud,4
username and then you and shann could do a set together . and i could shoot it,4
"ready for sun and warmth ! ! ... working till 3 then , who knows !",4
username i hate science .,0
username sorry i missed you at the park i curled up in a blanket on top of the hill and fell asleep for two hours . was that safe ?,0
£6 bed sheets from tesco feel like £6 bed sheets from tesco,0
boredd just watched borat and meet the spartans and now i have nothing,0
username its allowed . its part of the charm haha,4
"need some decent challengers for killzone one on one , most run away so far",0
"brunch and a round of golf at the club con mi familia happy mother 's day , mama tweets !",4
username do n't talk about innout ! you 're making me drool over here .,4
username i wish i was there ( pinpoint live & gt ; url ),0
username be especially nice to your mother today .,4
"this sunday is the 17th . 1 year , 8 months .",4
username i lost my license + atm card,0
username okay then .,4
"new day , maybe ill find my ipod had a dope photosoot yesterday",0
suuhleepy in class . zombie for the day . essay kept me up last night,0
im so screwed traffic hasnt moved,0
username so true so true . that really hit the nail on the head .,4
twitter is still fucking dead !,0
"username it was great meeting you , too . looking 4ward 2 lots more conversation & amp ; inspiration",4
username username naahh ... i think i 'm more tamed than rhandy and kenneth,4
i liked paris better than london but still i prefer copenhagen to live in,4
i 've been on almost all day and my bffl has'nt came on yet,0
"username yes , wow .. but this is not cool wonder why they cancelled that show ?",0
is gon na stay in tonight with some movies and some gambino 's,4
"omg , realization just hit that finals are really here , and i 've barely made an effort",0
shopping for house insurance . yuck,0
"all those songs just make me realize just how bad my situation was , that i deterred off that happy path for so long ...",0
username many thanks for the kind words,4
drop by and say hi url,4
i want to see taking back sunday again . two times just is n't enought for those lovelies,0
username got my publisher to implement it - will ask him - but looks as if was v simple - am liking it,4
username love sending postcards ! ? send some of my crazy postcards to your postcrossing friends ! url,4
its a friday and i have nothing to do but sit here and waste my time on twitter and facebook .. i 'm soo lame !,0
chillin on here,4
username oh as if . taylor lautnerr & lt ; 3 p.s sorry about kitten . what happened ?,0
username well . always a day like this . so it 's a little bit normal .. like shakespeare said : to be or not to be ... motivated !,4
just had breakfast username toast with robert 's family ... soo good . the avocado omelet is the best . url,4
my o2 bolt-on gives me unlimited wifi access downloaded and installed google earth from the apps store . do n't you just love technology ?,4
i did like tweets from my phone today and none of them hav registered bad times,0
"biking for bibles twitter is over visit our new website , ww.biblica.com beta version . officially launches in july/",0
chillin tonight ( at least for now ),4
ugh . omg . so tired,0
happy mother 's day to all the wonderful mommies out there i love you mom ! !,4
username oh yeh but soon summer !,0
alone ( again ) now ..,0
nintendo = fail ..... not impressed at all,0
"username ooh , which day ? i 'm going on sunday",4
"username oh that 's alright then - i 'm now following you ! i thought it was the 'broken , finished for ' definition",4
username username pfft well i get my 8 hrs in esp now its summer we 'll see how things go once classes start : -/,4
ugh . i have a belly ache .,0
"username oh no , i only just saw your msg i hope your not still outside . if thats not a reason for username to get an iphone",0
username must be nice,0
oh my gahd i ca n't believe it i 've never been this far away from home . syke ! speaking of syke ( s ) im meeting username in 8 days,4
username : ca n't commit full-time right now ... can work on guest articles sometimes ... lem me know what you 're looking for ..,4
username playing mode now . i 'm getting ready for exam username june 8. uhh ohh,0
"i so feel this way -- & quot ; jon and kate , i do n't know how to quit you & quot ; | momlogic url",0
omg the ambulance was for a baby,0
im so bored an have to do english homework,0
"i 'm on vacation in new jersey , but it 's pouring rain .",0
happy mommy day ! !,4
username dat is fijn,4
i love weddings,4
username i wo n't stay too late today ! ! got ta get home and make sure i get my joey cds ... lol ! ! take care ! ! ( thanks for the reminder ) !,4
home again . that went rather well,4
ugh ... i might be getting sick,0
username it does n't do tabbed chat windows,0
yea ! kris allen is the american idol ! i ca n't wait for his debut album,4
they get organized for the summertour 2009 and summerholidays ! ! !,4
not amused by the blue smoke coming out of the car,0
did some work today,4
username kewl have fun with your raids ; 3,4
username have you ever come to indonesia ? we have an exotic view ; ) you should try it yea .,4
i would rather be outside with the dogs and a sprinkler than inside the office,0
username haha aww yu n tahlia are heaps cute together * . *,4
"username good night , linda ! see you tomorrow , lord willing .",4
username let the festivities begin ! ! !,4
i think i should go and see a doc tomorrow grr,0
ca n't wait to be able to practice piano 7 hours a day after tomorrow,4
off to drama filled work ... great,0
i have been taking care of some legal business today . ( ugh ) so today 's f4f will be a & quot ; best of & quot ; show . sorry,0
in gm ( government motors ) we trust url,0
username lol it 's overcast but otherwise ok . i 'm tired but otherwise ok,4
sitting here thinking about web design at 03:05am in the morning ... shockin lol night all,4
"katapos lang kumain . dami fuds ! corned beef , sitaw and chicken yumyum ! ! ! butete na sa laki ng tiyan si ange . hahaha xd~",4
no one is alive on twitter no one loves me,0
username omgahh does anthony rosano have a myspace twitter or anything ? ? ? i dont really find alot of scenes with him,0
username awesome awesome !,4
just realised the worst thing about full time work : i ca n't watch prime minister 's questions today,0
tweet later ! byee,4
uploading pic to twitpic,4
watching superbad with brit,4
weapons qualification today . pray .,4
ca n't wait for nxt weekend lol,4
blah blah blah .. ! ! ! ! my phone does not have sms texting ... while im at my gparents house .. little or no tweeting,0
username thanks g ! my actual birthday is on tuesday and i will be 24 .,4
username at least it 's not math !,0
username or me ! remember i wo n't be there until saturday ! shiver . grab me shiver !,4
username i think i 'd find it handy too . map feature is good but does n't tell you which way you 're facing . ca n't upgrade till jan tho,0
"and yet again i feel like shit .... he was supposed to care , not make me feel like nothing",0
no monday is complete without a little rushing around . it 's only just begun .,4
username there 's a huge difference between transparency and honesty,0
username you wouldnt have at all duh thats why i asked if you wanted to go but we juss left the hood sorry,0
10 days clear of writing ... whatever will i do ? the benefits of handing in a piece early and before deadline .,4
is writing fanfic . the slashy kind .,4
"username aww ! lets wear matching swim caps , the one w/ the colorful pretty flowers on it . we are goin 2 look adorable !",4
nothin to do for the rest of the night ....,0
username you stole my phrase ! but thats ok cause i like you gwarl .,4
url ! ( via @ kaylalightslove ),4
"username magnolia , what a way to go done because your backup was bad epic fail backup is # 1 on my start of day checks .",0
"username username ooh , you big fibber rob , you just tweeted me about my office setup instead of commenting on the blog !",4
# followfriday username really sweet,4
"username hey ! sorry i missed this a couple of days ago . yes , the 19th was my 40th b-day , thank you much . i appreciate the thought .",4
i 'm off to school to listen to the teachers do nothing more than complain about everything . ugh . center afterwards . be back around 6 .,4
username waay ahead of you on that one * hic * unfortunately the awesomeness comes to an abrupt end with one shot too many,0
is rethinking about something important .... and a bit,0
excited to see my cousins this week .,4
maybe cinema tonight ? the hangover ? cinema has become quite expensive ...,0
username erm . . . not sure i always forget but its normally my brother who tells me . lol i have the worst memory ever,4
username danity kane .... womp womp womp ... like 4 real i really did and still do ... cried like a baby when the split up,0
"username its an awesome song , i want it to get big here xx",4
username think its the weather hun i 'm always tired at the month x,0
"username never too late for a coffee if the craving is there , if you do have a triple latte for me",4
username hah i think new moon is alot easier to read than twilight . less than 100 pages to go,4
domain is expiring .. need to renew it .. or i will end up loosing it ! !,0
"username been trying no answer , it 's been fun while i was there guess i got ta go back to crappy site now i still love ya !",0
"username lol . well , my mind is generally screwed -- but usually less so first thing",4
getting ready to go to the car boot sale ... hope i find some junk ! so tired though,0
username is that banjo toy for rare employees only ! ? they should put them up for sale .,0
"username username there now i optimized my seo , for tonight !",4
username hope your stuff can be saved . wo n't be online tonight after all cause i forgot i have to wake at 7 for work again .,0
i couldv ' e taken a class from the ryan feng ... sadness ... aw well ! ima learn from mike song and tony tran ! thassright people !,0
username happy birthday jordan love you happy 39th love you,4
family just left ... back to the basics,0
guess i should go buy some groceries . hmm grocery shopping on a saturday night . how exciting is that ?,4
time to come to twitter to find my jazz loving friends to come support the jazz network . ww.thejazznetworkworldwide.com see you there !,4
username welcome back to twitter ! ! !,4
"going to sleep , so so so tired .",0
i wish i could see my mommy 2mar . i feel terrible .,0
username url !,4
today was soo boring in school . i was sleeping all the time,4
just had a fajita and a heineken on the balcony in fantastic sunshine we 're having ppl over this eve to celebrate therese 's graduating,4
i 'm new .... what a mess !,0
im hungry ! ! aghh feed me .,0
username i hold the towle left and right the glowing stick .... i am good in pretending listening,4
"i bloddy hate summer sandals ! ! killing my feet but , woop ! ! my last exam was today ! !",0
didnt get to see a shorebirds game,0
i wan na sing with my girls really bad i miss serendipity jr,0
username good luck !,4
username but kcal 9 said lenox area and they r a more reliable source .,4
will be on the road to colorado in 67 . 5 hrs,4
"username not really , soz",4
is soo upset right now,0
username fuckk . im going out at 7 .,0
poor dogs this sun is not their cup of tea at all ... they 'll spend the day again in the long shady grass complaining with loud panting ! !,0
username thanks ; campbell 's nursery trapped her and set her free on street near the interstate,0
not looking forward to another week of work . i need a holiday,0
wonders how the weekend can be half over already . url,0
em busy doing another article for our school newspaper . bye for now .,0
22 followers away from 400 woohoo - thanks everyone,4
"username ha ha , i nearly used mine in anger ! that is i nearly threw it out of the window",4
ca n't sleep too many thoughts in my head . bouncing around to mess with me . i think i 'm going crazy .,0
username but i could also just get a blu-ray player because i love my dvr too,4
can wait till pink 2morrow nite yay,4
"happy fathers day 2 all the daddys out there that deserve iit ! ! urgh still do not lyk fathers day thou , soo sad ! !",0
ryan seacrest makes me happy,4
bored again ! i just wan na go out ! ! ! uugh ! i ca n't just go out to some bar/club alone ...,0
"username yeah if i do that it just spins up the drive , takes ages to load and still boots os 9.2 anyway",0
munching on a sugar-cinnamon pretzel from auntie anne 's .,4
"username downturn downside , i finish my current job , called two agents for advertised job , and both had 150+ applicants",0
"username ochie , kmaren nervous ya pas tu ? kliatan tau , pas aku dtg aku ngeliat ochie lg maen2in tisu sampe tisu ' y lecek ..",4
"cant sleep , too much energy",4
"day 6 : its so fucking hot ! i think i 'll live in my dads heart , where its cold .",0
"plus , if the green apple logo doesnt come up , leave it at the while apple page for longer . this is bcos we have lot of apps to reset",4
"username i ran into my old elem . friends too ! small small world , but did n't you just graduate elem . a couple of years ago ... ? rofl",4
"is a happy little vegemite , as bright as bright can be learning to salsa tonight , i hope . so excited .",4
awful night with grandpa . i hate blood .,0
"likes both op and ed themes of & quot ; sengoku majin goshogun & quot ; . unfortunately , i do n't really enjoy the series . t ... url",0
tallest dog in the world has cancer url,0
"i pressed refresh , spotted 'nice cup of tea ' fanclub , tried to click it . alas , i was too late .",0
"i really need my boyfriend ! eric , love ya baby",0
aww . this is soo cute . url,4
"boring food for lunch - would have ordered pizza , if only they had a fat free version of it",0
sick just in time for finals week,0
